mse,rmse,r2,iterations,learning_rate,depth,l2_leaf_reg
0.12689663577408702,0.35622554059764866,0.9454548631242478,96.0,0.19827143290172972,7.0,1.5048290246365577
0.15682722538411845,0.3960141732111598,0.9693198067894259,81.0,0.26093749939258504,5.0,1.6785415173531553
0.1164211790194283,0.34120547917556704,0.9583993471525377,94.0,0.22887972411148264,6.0,2.068734497765935
0.4015403653493703,0.6336721276412356,0.7417629544775767,84.0,0.28255618946889427,4.0,2.2801651627227306
0.08501927831697377,0.29158065490867835,0.9744661670302116,56.0,0.200896125186897,5.0,1.1201518490254994
0.18888680274211742,0.434611093671247,0.8933981990235027,99.0,0.28236239180047895,7.0,1.8741661665249372
0.15891003932964817,0.39863522088451764,0.93579626129034,97.0,0.20551356738509996,8.0,2.109641362182855
0.26398818240241967,0.5137978030338585,0.8629916693990869,77.0,0.29030800746359664,7.0,2.4394356887958364
0.2665465977703106,0.5162815101960466,0.8459996028133808,98.0,0.15630577164080153,8.0,1.3864943154133678
0.14277757435032715,0.3778591991077194,0.9714369728120175,81.0,0.26082876616924244,6.0,1.0013643778022505
0.16589767559785026,0.4073053837084041,0.9101653035160184,77.0,0.2016498666427962,8.0,1.7256477563019716
0.10774320036211377,0.328242593765821,0.9660922727905953,100.0,0.11931265475878694,8.0,1.1192177973732225
0.11220439252371237,0.3349692411606062,0.9669690178289558,76.0,0.2709336715955069,8.0,2.3211285703909956
0.10507220146338701,0.32414842505152947,0.9575390806533037,77.0,0.1810189497305803,7.0,1.0114983827849593
0.12542926733422063,0.3541599459767022,0.9626591239364672,98.0,0.1838811841446696,7.0,1.037930852411681
0.1356031195975582,0.36824328859811983,0.9470120548296367,79.0,0.26700009800728475,6.0,2.716070687433018
0.20380946462466695,0.45145261614555626,0.9242068738402738,91.0,0.28667264595480363,8.0,3.5407854950816855
0.17030874038053231,0.4126847954317342,0.903086697937655,97.0,0.21976540346349244,6.0,2.4619130081804976
0.6041439369505132,0.7772669663317188,0.6393229019583246,98.0,0.2629279102137768,3.0,3.0226757452342037
0.23797192420711494,0.4878236609750648,0.8834481697440522,77.0,0.29033766005579753,4.0,1.223564942219519
0.2830734680260428,0.532046490474322,0.8230134357751655,84.0,0.20865152849388716,4.0,1.6596513026327955
0.15615772363957584,0.39516796889370454,0.936592013677244,66.0,0.29230452257140016,7.0,1.1799140999149142
0.09217745249030658,0.3036073986093003,0.9808204738436557,69.0,0.2727900270823362,7.0,2.1558946767056844
