a,s,d,f,g,h,j,j,t,y
0.7,575,53,11,0.76,1.67,80,20,32.83505155,0.2619116
0.7,575,53,11,0.76,1.67,80,20,37.3814433,0.3003852
0.7,575,53,11,0.76,1.67,80,20,42.72164948,0.363925
0.7,575,53,11,0.76,1.67,80,20,49,0.4454608
0.7,575,53,11,0.76,1.67,80,20,56.1443299,0.5981164
1,313,38,11.1,0.773,1.75,75.4,25,0,1.0999661
1,313,38,11.1,0.773,1.75,75.4,25,0.950323974,0.9920915
1,313,38,11.1,0.773,1.75,75.4,25,1.81425486,0.8947962
1,313,38,11.1,0.773,1.75,75.4,25,3.196544276,0.7573739
1,313,38,11.1,0.773,1.75,75.4,25,4.233261339,0.6461671
1,313,38,11.1,0.773,1.75,75.4,25,5.442764579,0.5781879
1,313,38,11.1,0.773,1.75,75.4,25,6.393088553,0.5173603
1,313,38,11.1,0.773,1.75,75.4,25,7.257019438,0.4740914
1,313,38,11.1,0.773,1.75,75.4,25,8.120950324,0.4310054
1,313,38,11.1,0.773,1.75,75.4,25,9.503239741,0.3887364
1,313,38,11.1,0.773,1.75,75.4,25,10.97192225,0.3562248
1,313,38,11.1,0.773,1.75,75.4,25,12.35421166,0.3396522
1,313,38,11.1,0.773,1.75,75.4,25,13.30453564,0.3212895
1,313,38,11.1,0.773,1.75,75.4,25,14.3412527,0.3039195
1,313,38,11.1,0.773,1.75,75.4,25,15.55075594,0.2920904
1,313,38,11.1,0.773,1.75,75.4,25,16.67386609,0.2697954
1,313,38,11.1,0.773,1.75,75.4,25,17.53779698,0.2552093
1,313,38,11.1,0.773,1.75,75.4,25,18.66090713,0.2395027
1,313,38,11.1,0.773,1.75,75.4,25,19.52483801,0.2229851
1,313,38,11.1,0.773,1.75,75.4,25,20.82073434,0.2076067
1,313,38,11.1,0.773,1.75,75.4,25,22.03023758,0.1917603
1,313,38,11.1,0.773,1.75,75.4,25,22.98056156,0.1785353
1,313,38,11.1,0.773,1.75,75.4,25,24.19006479,0.1675475
1,313,38,11.1,0.773,1.75,75.4,25,25.48596112,0.1584893
1,313,38,11.1,0.773,1.75,75.4,25,26.95464363,0.1475589
1,313,38,11.1,0.773,1.75,75.4,25,28.59611231,0.1373824
1,313,38,11.1,0.773,1.75,75.4,25,30.23758099,0.129955
1,313,38,11.1,0.773,1.75,75.4,25,31.7062635,0.1258925
1,313,38,11.1,0.773,1.75,75.4,25,33.34773218,0.1190864
1,313,38,11.1,0.773,1.75,75.4,25,34.90280778,0.1144513
1,313,38,11.1,0.773,1.75,75.4,25,37.14902808,0.1099966
1,313,38,11.1,0.773,1.75,75.4,25,38.53131749,0.1074075
1,313,38,11.1,0.773,1.75,75.4,25,39.91360691,0.1057153
1,313,38,11.1,0.773,1.75,75.4,25,41.29589633,0.103227
1,313,38,11.1,0.773,1.75,75.4,25,42.50539957,0.1007972
1,313,38,11.1,0.773,1.75,75.4,25,43.8012959,0.1007972
1,313,38,11.1,0.773,1.75,75.4,25,45.35637149,0.099209149
1,313,38,11.1,0.773,1.75,75.4,25,46.65226782,0.097646161
1,313,38,11.1,0.773,1.75,75.4,25,47.94816415,0.096107797
1,313,38,11.1,0.773,1.75,75.4,25,49.15766739,0.094593669
1,313,38,11.1,0.773,1.75,75.4,25,50.45356371,0.093845574
1,313,38,11.1,0.773,1.75,75.4,25,52.26781857,0.093845574
1,313,38,11.1,0.773,1.75,75.4,25,53.47732181,0.092367086
1,313,38,11.1,0.773,1.75,75.4,25,55.1187905,0.090192913
1,313,38,11.1,0.773,1.75,75.4,25,56.93304536,0.088069917
1,313,38,11.1,0.773,1.75,75.4,25,58.92008639,0.087373415
1,313,38,11.1,0.773,1.75,75.4,25,60.56155508,0.085316785
1,313,38,11.1,0.773,1.75,75.4,25,62.03023758,0.083972664
1,313,38,11.1,0.773,1.75,75.4,25,64.01727862,0.083972664
1,313,38,11.1,0.773,1.75,75.4,25,65.57235421,0.083308565
1,313,38,11.1,0.773,1.75,75.4,25,67.38660907,0.083308565
1,313,38,11.1,0.773,1.75,75.4,25,69.37365011,0.084642057
1,313,38,11.1,0.773,1.75,75.4,25,71.01511879,0.089479621
1,313,38,11.1,0.773,1.75,75.4,25,72.13822894,0.096107797
1,313,38,11.1,0.773,1.75,75.4,25,73.34773218,0.1057153
1,313,38,11.1,0.773,1.75,75.4,25,74.21166307,0.1181446
1,313,38,11.1,0.773,1.75,75.4,25,74.90280778,0.1373824
1,313,38,11.1,0.773,1.75,75.4,25,75.85313175,0.1535348
1,313,38,11.1,0.773,1.75,75.4,25,76.88984881,0.1743329
1,313,38,11.1,0.773,1.75,75.4,25,77.7537797,0.1917603
